balancing_area,reserve_type,direction,timepoint,target,day_repeat
system_wide_balancing_area,regulation,up,2023-01-12 00:00,15.49084428,32.13204951856945
system_wide_balancing_area,regulation,up,2023-01-12 02:00,26.59802061,32.13204951856945
system_wide_balancing_area,regulation,up,2023-01-12 04:00,14.38953468,32.13204951856945
system_wide_balancing_area,regulation,up,2023-01-12 06:00,26.59802061,32.13204951856945
system_wide_balancing_area,regulation,up,2023-01-12 08:00,224.5022475403075,32.13204951856945
system_wide_balancing_area,regulation,up,2023-01-12 10:00,255.61548978483987,32.13204951856945
system_wide_balancing_area,regulation,up,2023-01-12 12:00,248.89445958483986,32.13204951856945
system_wide_balancing_area,regulation,up,2023-01-12 14:00,248.9073169848399,32.13204951856945
system_wide_balancing_area,regulation,up,2023-01-12 16:00,246.14450607858632,32.13204951856945
system_wide_balancing_area,regulation,up,2023-01-12 18:00,23.19024378,32.13204951856945
system_wide_balancing_area,regulation,up,2023-01-12 20:00,23.56394778,32.13204951856945
system_wide_balancing_area,regulation,up,2023-01-12 22:00,19.78702578,32.13204951856945
system_wide_balancing_area,regulation,up,2023-01-19 00:00,26.59802061,23.59697386519945
system_wide_balancing_area,regulation,up,2023-01-19 02:00,26.59802061,23.59697386519945
system_wide_balancing_area,regulation,up,2023-01-19 04:00,26.59802061,23.59697386519945
system_wide_balancing_area,regulation,up,2023-01-19 06:00,26.59802061,23.59697386519945
system_wide_balancing_area,regulation,up,2023-01-19 08:00,235.1233492895062,23.59697386519945
system_wide_balancing_area,regulation,up,2023-01-19 10:00,256.13133378483985,23.59697386519945
system_wide_balancing_area,regulation,up,2023-01-19 12:00,254.73553278483988,23.59697386519945
system_wide_balancing_area,regulation,up,2023-01-19 14:00,251.38497048483987,23.59697386519945
system_wide_balancing_area,regulation,up,2023-01-19 16:00,200.6334212661022,23.59697386519945
system_wide_balancing_area,regulation,up,2023-01-19 18:00,14.84432808,23.59697386519945
system_wide_balancing_area,regulation,up,2023-01-19 20:00,14.277182280000002,23.59697386519945
system_wide_balancing_area,regulation,up,2023-01-19 22:00,21.841537680000002,23.59697386519945
system_wide_balancing_area,regulation,up,2023-02-12 00:00,25.18078851,24.60110041265475
system_wide_balancing_area,regulation,up,2023-02-12 02:00,24.95185968,24.60110041265475
system_wide_balancing_area,regulation,up,2023-02-12 04:00,26.59802061,24.60110041265475
system_wide_balancing_area,regulation,up,2023-02-12 06:00,24.47198778,24.60110041265475
system_wide_balancing_area,regulation,up,2023-02-12 08:00,242.32233656834086,24.60110041265475
system_wide_balancing_area,regulation,up,2023-02-12 10:00,253.1149297848399,24.60110041265475
system_wide_balancing_area,regulation,up,2023-02-12 12:00,252.0332677848399,24.60110041265475
system_wide_balancing_area,regulation,up,2023-02-12 14:00,250.7706148848399,24.60110041265475
system_wide_balancing_area,regulation,up,2023-02-12 16:00,234.902216448889,24.60110041265475
system_wide_balancing_area,regulation,up,2023-02-12 18:00,26.20447851,24.60110041265475
system_wide_balancing_area,regulation,up,2023-02-12 20:00,26.59802061,24.60110041265475
system_wide_balancing_area,regulation,up,2023-02-12 22:00,19.58168178,24.60110041265475
system_wide_balancing_area,regulation,up,2023-02-20 00:00,2.0147631,35.646492434663
system_wide_balancing_area,regulation,up,2023-02-20 02:00,2.9631033660000003,35.646492434663
system_wide_balancing_area,regulation,up,2023-02-20 04:00,1.7547010920000001,35.646492434663
system_wide_balancing_area,regulation,up,2023-02-20 06:00,7.8046565999999995,35.646492434663
system_wide_balancing_area,regulation,up,2023-02-20 08:00,221.04632936341957,35.646492434663
system_wide_balancing_area,regulation,up,2023-02-20 10:00,238.9610745048399,35.646492434663
system_wide_balancing_area,regulation,up,2023-02-20 12:00,240.50052330483987,35.646492434663
system_wide_balancing_area,regulation,up,2023-02-20 14:00,241.6896456048399,35.646492434663
system_wide_balancing_area,regulation,up,2023-02-20 16:00,231.84444923936326,35.646492434663
system_wide_balancing_area,regulation,up,2023-02-20 18:00,7.573563,35.646492434663
system_wide_balancing_area,regulation,up,2023-02-20 20:00,13.719299999999999,35.646492434663
system_wide_balancing_area,regulation,up,2023-02-20 22:00,10.7386839,35.646492434663
system_wide_balancing_area,regulation,up,2023-04-10 00:00,4.1252022638999994,23.59697386519945
system_wide_balancing_area,regulation,up,2023-04-10 02:00,7.959827999999999,23.59697386519945
system_wide_balancing_area,regulation,up,2023-04-10 04:00,10.845873000000001,23.59697386519945
system_wide_balancing_area,regulation,up,2023-04-10 06:00,17.30018257459447,23.59697386519945
system_wide_balancing_area,regulation,up,2023-04-10 08:00,183.11064737111457,23.59697386519945
system_wide_balancing_area,regulation,up,2023-04-10 10:00,250.0894906848399,23.59697386519945
system_wide_balancing_area,regulation,up,2023-04-10 12:00,235.1096309662923,23.59697386519945
system_wide_balancing_area,regulation,up,2023-04-10 14:00,244.8281160048399,23.59697386519945
system_wide_balancing_area,regulation,up,2023-04-10 16:00,236.81892475463303,23.59697386519945
system_wide_balancing_area,regulation,up,2023-04-10 18:00,42.737250627164244,23.59697386519945
system_wide_balancing_area,regulation,up,2023-04-10 20:00,24.141468510000003,23.59697386519945
