GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,GenCapitalCosts,GenFixedOMCosts
Oahu_CentralTrackingPV_PV_14,2025,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_14,2030,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_14,2035,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_14,2040,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_14,2045,CentralTrackingPV,Oahu,SUN,103.341,9.66042e+06,940819
Oahu_CentralTrackingPV_PV_14,2050,CentralTrackingPV,Oahu,SUN,103.341,9.66042e+06,940819
Oahu_CentralTrackingPV_PV_15,2020,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_15,2023,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_15,2025,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_15,2030,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_15,2035,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_15,2040,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_15,2045,CentralTrackingPV,Oahu,SUN,109.863,1.01842e+07,1.0002e+06
Oahu_CentralTrackingPV_PV_15,2050,CentralTrackingPV,Oahu,SUN,252.479,2.26578e+07,2.22438e+06
Oahu_CentralTrackingPV_PV_16,2020,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_16,2023,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_16,2025,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_16,2030,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_16,2035,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_16,2040,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_16,2045,CentralTrackingPV,Oahu,SUN,254.377,2.36823e+07,2.31586e+06
Oahu_CentralTrackingPV_PV_16,2050,CentralTrackingPV,Oahu,SUN,254.377,2.36823e+07,2.31586e+06
Oahu_CentralTrackingPV_PV_17,2020,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_17,2023,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_17,2025,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_17,2030,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_17,2035,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_17,2040,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_17,2045,CentralTrackingPV,Oahu,SUN,8.01187,748917,72940.4
Oahu_CentralTrackingPV_PV_17,2050,CentralTrackingPV,Oahu,SUN,8.01187,748917,72940.4
Oahu_CentralTrackingPV_PV_18,2020,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_18,2023,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_18,2025,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_18,2030,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_18,2035,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_18,2040,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_18,2045,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_18,2050,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_DistBattery,2020,DistBattery,Oahu,Battery,31.941,2.5813e+06,1.08812e+06
Oahu_DistBattery,2023,DistBattery,Oahu,Battery,57.737,4.35769e+06,1.83693e+06
Oahu_DistBattery,2025,DistBattery,Oahu,Battery,66.011,4.86153e+06,2.04932e+06
Oahu_DistBattery,2030,DistBattery,Oahu,Battery,99.398,6.56427e+06,2.76709e+06
Oahu_DistBattery,2035,DistBattery,Oahu,Battery,144.287,7.65641e+06,3.22747e+06
Oahu_DistBattery,2040,DistBattery,Oahu,Battery,193.009,9.07078e+06,3.82368e+06
Oahu_DistBattery,2045,DistBattery,Oahu,Battery,244.132,1.08699e+07,4.58209e+06
Oahu_DistBattery,2050,DistBattery,Oahu,Battery,244.132,1.01352e+07,4.27239e+06
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2020,FlatDistPV,Oahu,SUN,175.391,4.84143e+07,1.6689e+06
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2023,FlatDistPV,Oahu,SUN,246.904,6.20434e+07,2.81126e+06
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2025,FlatDistPV,Oahu,SUN,294.313,7.06409e+07,3.53188e+06
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2030,FlatDistPV,Oahu,SUN,436.043,9.30712e+07,5.41195e+06
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2035,FlatDistPV,Oahu,SUN,598.216,1.17529e+08,7.46196e+06
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2040,FlatDistPV,Oahu,SUN,598.216,1.17529e+08,7.46196e+06
