owner,variable,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
PPA,capacity_added,10.0,27.5,279.0,429.20000000000005,348.9999999999999,150.00000000000009,199.3857890101009,199.38578901010078,199.38578901010086,199.385789010101,199.3857890101009,11.08502821634238,11.08502821634238,11.085028216342131,11.085028216342334,11.085028216342382,43.65991927913819,183.15991927913797,343.2599192791382,215.65991927913797,43.65991927913791,173.95973097327237,219.9597309732727,143.9597309732726,248.9597309732723,243.95973097327223,308.7517460440862,334.85174604408655,302.25174604408653,431.8517460440862
PPA,capacity_in_place,782.9,810.4,1089.4,1338.6000000000001,1687.6,1837.6,2036.985789010101,2236.371578020202,2435.7573670303027,2635.1431560404035,2834.5289450505043,2845.6139732668466,2856.699001483189,2867.784029699531,2878.8690579158733,2889.9540861322157,2933.614005411354,2977.273924690492,3020.9338439696303,3064.5937632487685,3108.253682527906,3252.213413501179,3396.173144474451,3540.1328754477236,3784.092606420996,3995.8523373942685,4298.104083438355,4600.355829482441,4902.607575526527,5204.859321570614
PPA,capacity_retired,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.5,299.6,172.0,0.0,30.0,76.0,0.0,5.0,32.2,6.5,32.6,0.0,129.6
PPA,capital_outlay,13915956.988325834,57503735.700535215,446889233.7418089,617496113.3398736,545188856.7485684,232587326.3022206,378064117.8048322,369231336.92884856,360646783.0346712,352042244.3296461,343192316.2827319,21467929.40303747,21221632.854562186,20972150.358667493,20745640.195880055,20519458.55659487,64082607.51694282,203434795.36191294,335707150.0956944,246878056.23944196,61030781.89153075,291467514.13867766,358562767.8724635,236495344.28895652,557479046.166477,539298564.4153998,906660740.6311113,909502209.3361983,847558526.4129456,966057532.0338559
PPA,fixed_om,39136895.747794196,40256551.81917881,46350294.862629,42016278.04941958,48921704.5210976,50746982.2810976,54357195.38714726,57909506.49236329,61403915.596745655,64840422.70029438,68219027.80300947,68337685.46561478,68455012.88046665,68571010.04756507,68685676.96691005,68799013.6385016,69240166.45544314,68128978.36399217,65659623.35612673,64662789.0274903,65082984.384187914,66116108.3523362,66441814.78658844,67876054.01990479,73507266.54290776,78467040.37169327,90530537.2830335,101848878.04588212,113337254.28064664,123845489.07867168
PPA,fuel_cost,299971126.16730386,242791010.79078066,183540988.02065122,207002564.95606834,211915855.6053077,217035407.68179387,219107063.27099162,210707817.30102423,210523036.46169072,201391764.16691124,159241057.27116305,158387123.2066164,163176572.5570524,165684297.80077767,172222337.00241673,175418288.44419494,176873855.2925575,175874078.14504263,176099361.74207562,178906960.52093035,181744348.1217064,172987993.63127482,165465886.19586197,162656681.91403654,155992692.55048996,112567351.8555575,71501172.0738954,50224019.246291615,37069434.38796825,26703719.612655267
PPA,non_renewable_output,2613861.431606027,2617176.4444940444,2672025.6023600996,2068304.0000000016,2068304.0000000016,2068304.0000000016,2043336.5783071944,1927318.8872120467,1882230.435617021,1759022.0116714137,1388125.139439219,1360316.1902063212,1373462.1748826317,1373859.4112036317,1406857.297373917,1409316.9582915085,1394563.326601297,1365353.4469701273,1343576.1599584797,1342707.726918687,1343564.1597907068,1266966.4295322588,1192200.6290613674,1159274.4095905651,1099603.7170768527,1.6080224237592745e-09,8.166218793952199e-10,-9.152136423011633e-11,3.3847691576036264e-11,-2.6969348350157148e-12
PPA,ppa_cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912
PPA,renewable_output,1454495.9833612894,1394090.95373861,1411303.6559681033,1720185.1248912683,2132307.4430174357,2487159.8457549326,2975737.0579730608,3466820.8943803827,3889304.8842939935,4294090.65579989,4798315.367837579,4811409.478245171,4853023.541958509,4848818.772332991,4879772.508067241,4926788.199882052,5015749.792488918,5059343.315768848,5134924.132475418,5219925.043767116,5303776.125378815,5539702.982916029,5711100.570567906,5867858.27043122,6143681.467446009,7297767.676647041,7568896.482934592,7877191.1658218,8090461.543418866,8130295.369770595
PPA,storage_load,0.0,0.0,21363.86402680726,32489.481404483216,48068.12300520542,65450.47833670743,84878.05692246038,102297.19623883198,118273.3667428747,139299.12395461352,150836.20055061564,151314.87759850605,153160.25968361666,156018.511740946,156386.0121298343,159624.1124602185,161148.18025970578,164542.06062602083,167596.1680294897,168614.4837296824,173319.981771779,183435.01682399146,191252.20731494937,200864.64153960344,198109.43303340004,206607.26583319614,152928.13199596317,99779.58360012445,85488.77869774235,70554.38111613331
