PERIOD,Component,AnnualCost_NPV,AnnualCost_Real,Component_type
2037,Pumped_Hydro_Fixed_Cost_Annual,20965376.620513957,35692150.30010912,annual
2037,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2037,StorageEnergyFixedCost,51795469.79632074,88178320.20370936,annual
2037,TotalGenCapitalCostsSubsidy,-19086571.859507613,-32493610.959356975,annual
2037,TotalGenFixedCosts,457061751.92171574,778117037.4997606,annual
2037,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2038,FuelCostsPerPeriod,115793802.8017554,203045134.12169445,annual
2038,GenVariableOMCostsInTP,43352238.48398496,76018412.59610973,timepoint
2038,Pumped_Hydro_Fixed_Cost_Annual,20354734.58302326,35692150.30010912,annual
2038,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2038,StorageEnergyFixedCost,46912609.35018301,82261544.46118738,annual
2038,TotalGenCapitalCostsSubsidy,-18782276.2478664,-32934835.09120002,annual
2038,TotalGenFixedCosts,444238672.68037254,778975201.5559709,annual
2038,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2039,FuelCostsPerPeriod,112981710.25930808,204057536.2115011,annual
2039,GenVariableOMCostsInTP,42040070.108244315,75929042.92878993,timepoint
2039,Pumped_Hydro_Fixed_Cost_Annual,19761878.235944916,35692150.30010912,annual
2039,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2039,StorageEnergyFixedCost,43536880.99427145,78632449.88621901,annual
2039,TotalGenCapitalCostsSubsidy,-18476595.016237397,-33370785.83726329,annual
2039,TotalGenFixedCosts,434440358.6147198,784647612.4878552,annual
2039,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2040,FuelCostsPerPeriod,112732482.04849887,209715624.41016087,annual
2040,GenVariableOMCostsInTP,40842739.49316142,75979526.57287331,timepoint
2040,Pumped_Hydro_Fixed_Cost_Annual,19186289.54946108,35692150.30010912,annual
2040,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2040,StorageEnergyFixedCost,42934661.73721978,79871118.16793343,annual
2040,TotalGenCapitalCostsSubsidy,-18169952.0665081,-33801463.19754679,annual
2040,TotalGenFixedCosts,423112742.2521932,787114337.632875,annual
2040,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2041,FuelCostsPerPeriod,103395125.84305198,198115753.08746153,annual
2041,GenVariableOMCostsInTP,39527200.04500185,75738202.74895014,timepoint
2041,Pumped_Hydro_Fixed_Cost_Annual,18627465.58200105,35692150.30010912,annual
2041,RFM_Fixed_Costs_Annual,0.0,0.0,annual
